Neighbourhood,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without after-tax income,  With after-tax income,  Percentage with after-tax income,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without employment income,  With employment income,  Percentage with employment income,"    Under $5,000 (including loss)","    $5,000 to $9,999","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over","      $80,000 to $89,999","      $90,000 to $99,999","      $100,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","In low income based on the Low-income measure, after tax (LIM-AT)",0 to 17 years,0 to 5 years,  18 to 64 years,  65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",  0 to 17 years (%),    0 to 5 years (%),  18 to 64 years (%),  65 years and over (%),  Not in the labour force,  In the labour force,    Employed,    Unemployed,Participation rate,Employment rate,Unemployment rate,  Did not work,  Worked,"    Worked full year, full time",    Worked part year and/or part time,Total labour force aged 15 years and over by class of worker - 25% sample data,  Class of worker - not applicable,  All classes of workers,    Employee,    Self-employed
Caledonia-Fairbank,"8,420",395,"8,025",95,1390,"1,565",1535,"1,205",880,625,400,195,235,8415,2500,5915,70,610,460,860,805,790,690,515,390,285,510,180,130,200,14.2,1405,325,120,900,185,12.1,13.4,13.6,12.3,8.3,2875,5550,"5,145",400,66,61,7.2,2815,5600,"2,655","2,945","5,545",145,"5,405","4,880",525
Casa Loma,"9,580",265,9325,97,1210,"1,080",1005,895,805,720,580,495,2530,"9,590",2655,6940,72,930,495,675,580,520,495,410,385,295,2150,255,225,1660,12.5,1350,180,50,945,225,11.7,9.9,6.9,14,6.8,3160,6475,"6,055",425,67,63,6.6,2785,6840,"3,515","3,330","6,470",105,"6,365","4,980","1,385"
Centennial Scarborough,"11,190",565,"10,630",95,1685,"1,520",1260,"1,120","1,165",980,820,670,1405,"11,195",3210,7985,71,"1,140",590,885,620,585,655,610,495,460,1935,405,415,1110,6.2,830,250,55,495,80,5.3,7.1,5.1,5.4,2.5,4010,7185,"6,635",545,64,59,7.6,3775,7430,"3,990","3,430","7,185",225,"6,960","6,215",735
Church-Yonge Corridor,"29,095",705,"28,390",98,4955,"4,530",3255,"3,140","3,045","2,595","2,060","1,500","3,305","29,100","6,645",22440,77,"2,375","1,680",2615,"2,090","1,980","1,990","1,795","1,640","1,410","4,870","1,115",925,"2,840",26,7880,460,190,"6,810",605,25.8,28,22.2,26.8,15.6,7240,21855,"19,990","1,865",75,69,9,6970,22115,"11,775","10,350","21,845",625,"21,230","18,905","2,335"
Clairlea-Birchmount,"21,740","1,270","20,470",94,"3,850","4,165",3405,"2,690","2,230","1,545","1,010",725,855,21745,6805,14920,69,"1,910","1,320",2145,"1,805","1,565","1,540","1,235",960,745,"1,690",535,450,720,19.5,"5,135","1,605",565,"3,155",375,16.2,23,24.5,15.7,7.5,7545,14195,"12,960","1,240",65,60,9,7580,14165,"6,945","7,225","14,200",505,"13,695","12,495","1,205"
Clanton Park,"13,660",625,"13,035",95,1995,"2,380",2130,"1,755","1,155",955,680,540,1450,"13,655",3675,9980,73,"1,080",730,1440,"1,285",1130,915,660,580,395,1765,350,330,1080,14.9,"2,450",485,165,"1,475",495,12.8,11,9.8,12.9,15.2,4380,9275,"8,710",565,68,64,6.1,4085,9570,"4,985","4,590","9,270",200,"9,070","7,685","1,380"
Cliffcrest,"13,250",720,"12,525",95,2180,"2,455",1910,"1,435","1,265",970,660,545,1105,"13,255",4425,8820,67,"1,290",755,1210,885,795,780,620,500,425,1580,350,330,905,17.9,2825,780,220,"1,545",500,14.3,19,20.1,13,13.2,5045,8200,"7,410",795,62,56,9.7,4930,8325,"4,175","4,145","8,205",315,"7,880","6,885","1,005"
Corso Italia-Davenport,"12,170",505,"11,670",96,1890,"2,245",2110,"1,480","1,180",935,675,400,745,12170,3480,8690,71,915,650,1320,1060,935,875,660,575,480,1235,355,270,620,13.4,1885,320,120,"1,305",260,13.2,12,11.5,14.6,8.2,3890,8310,"7,710",600,68,63,7.2,3770,8430,"4,285","4,145","8,315",205,"8,105","7,190",910
Danforth,"7,950",260,7690,97,1135,"1,555",1085,720,640,525,495,435,1105,"7,950",2275,5680,71,630,445,695,475,455,465,335,315,330,1545,275,310,955,14.2,1360,180,55,760,415,13.5,8.1,6.2,13.6,20.7,2510,5445,"5,105",340,69,64,6.2,2345,5600,"3,085","2,510","5,440",100,"5,340","4,650",700
Danforth East York,"14,060",495,"13,555",96,1875,"2,455",1875,"1,440","1,390","1,105",900,840,"1,690","14,055",3940,10110,72,"1,075",665,1125,900,790,860,805,655,615,2620,585,560,1485,13.6,"2,330",490,150,"1,360",480,11.2,11,7.5,11.2,11.2,4640,9420,"8,770",650,67,62,6.9,4330,9725,"5,320","4,405","9,420",165,"9,255","7,995","1,250"
