Neighbourhood,Without after-tax income,With after-tax income,"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 69,999","70,000 to 79,999","80,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",0 to 17 years,18 to 64 years,65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",Not in the labour force,In the labour force,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,Employee,Self-employed
Stonegate-Queensway,0.0353,0.9647,0.1421,0.1473,0.1324,0.1157,0.0998,0.0811,0.0592,0.0530,0.1692,11.6000,0.2117,0.6420,0.1463,9.5000,0.3257,0.6743,68.0000,63.0000,6.7000,0.0210,0.8238,0.1552
Tam O'Shanter-Sullivan,0.0523,0.9477,0.2025,0.2404,0.1707,0.1246,0.0906,0.0609,0.0395,0.0274,0.0434,23.8000,0.2350,0.5588,0.2062,19.1000,0.4420,0.5580,56.0000,51.0000,9.0000,0.0402,0.8599,0.0998
Taylor-Massey,0.0626,0.9374,0.2174,0.2416,0.1846,0.1263,0.0936,0.0561,0.0362,0.0204,0.0238,32.9000,0.2915,0.6359,0.0726,27.3000,0.3667,0.6333,63.0000,56.0000,11.5000,0.0497,0.8729,0.0774
The Beaches,0.0389,0.9611,0.1366,0.1186,0.1033,0.0903,0.0876,0.0794,0.0702,0.0596,0.2544,9.4000,0.1579,0.7043,0.1378,8.2000,0.2791,0.7209,72.0000,68.0000,5.7000,0.0138,0.7880,0.1983
Thistletown-Beaumond Heights,0.0542,0.9458,0.1965,0.2223,0.1864,0.1448,0.0963,0.0617,0.0359,0.0246,0.0315,17.8000,0.3158,0.5789,0.1053,14.7000,0.3973,0.6027,60.0000,54.0000,10.4000,0.0405,0.8598,0.0997
Thorncliffe Park,0.0889,0.9111,0.2328,0.2717,0.1850,0.1058,0.0774,0.0464,0.0331,0.0212,0.0266,45.5000,0.4035,0.5264,0.0701,36.0000,0.4433,0.5567,56.0000,49.0000,13.0000,0.0625,0.8226,0.1149
Trinity-Bellwoods,0.0221,0.9779,0.1582,0.2081,0.1628,0.1091,0.0975,0.0685,0.0498,0.0381,0.1077,14.7000,0.1139,0.7637,0.1224,17.6000,0.3063,0.6937,69.0000,65.0000,6.1000,0.0134,0.8279,0.1587
University,0.0251,0.9749,0.2047,0.1889,0.1431,0.1057,0.0807,0.0641,0.0507,0.0366,0.1256,22.4000,0.0633,0.8367,0.1000,26.4000,0.2855,0.7145,72.0000,66.0000,8.3000,0.0340,0.8073,0.1587
Victoria Village,0.0529,0.9471,0.1872,0.2260,0.1683,0.1335,0.1048,0.0649,0.0406,0.0287,0.0461,25.9000,0.2514,0.5743,0.1743,20.1000,0.4080,0.5920,59.0000,53.0000,10.1000,0.0447,0.8635,0.0918
Waterfront Communities-The Island,0.0222,0.9778,0.1292,0.1111,0.0940,0.1010,0.1135,0.1083,0.0932,0.0723,0.1773,16.5000,0.0944,0.8214,0.0842,16.0000,0.1756,0.8244,82.0000,78.0000,5.0000,0.0146,0.8774,0.1080
West Hill,0.0598,0.9402,0.1981,0.2343,0.1701,0.1335,0.1050,0.0646,0.0375,0.0252,0.0316,25.2000,0.3068,0.5855,0.1077,20.8000,0.4152,0.5848,59.0000,52.0000,12.0000,0.0531,0.8550,0.0920
West Humber-Clairville,0.0569,0.9431,0.2074,0.2175,0.1771,0.1474,0.1101,0.0604,0.0352,0.0215,0.0234,15.8000,0.2618,0.6458,0.0924,13.8000,0.3590,0.6410,64.0000,58.0000,10.0000,0.0314,0.8907,0.0779
Westminster-Branson,0.0530,0.9470,0.1969,0.2566,0.1871,0.1295,0.0891,0.0511,0.0317,0.0215,0.0366,24.4000,0.1950,0.5708,0.2343,20.3000,0.3812,0.6188,62.0000,56.0000,9.0000,0.0374,0.8330,0.1296
Weston,0.0500,0.9500,0.1858,0.2348,0.1772,0.1404,0.1069,0.0630,0.0353,0.0245,0.0320,29.6000,0.2751,0.6027,0.1223,25.1000,0.3786,0.6214,62.0000,56.0000,10.6000,0.0386,0.8705,0.0910
